Insulin-like peptide receptor,K05087 
Transposon Tf2-11 polyprotein,K12490
"cAMP-specific 3',5'-cyclic phosphodiesterase, isoforms N/G",K13293
"Glutamate receptor ionotropic, NMDA 2B",K05210
ATP-dependent DNA helicase PIF7,K15255
Transketolase-like protein 2,K00615
Putative uncharacterized protein,K10723
MAM and LDL-receptor class A domain-containing protein 1 (Fragment),K06560
Acetyl esterase,K01070
"3',5'-cyclic-nucleotide phosphodiesterase",nan
Hepatocyte growth factor activator,K01324
MICOS complex subunit MIC10,K17784
KappaPI-actitoxin-Avd3e,K03909
Retrovirus-related Pol polyprotein from transposon 17.6,K04911
Vitellogenin-6,nan
Kelch domain-containing protein 3,K10317
Trypsin epsilon,K09640
Calcium-binding protein NCS-1,K19932
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,K03456
Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA,K00106
Probable E3 ubiquitin ligase complex SCF subunit sconB,K03362
DNA-binding protein HU-beta 2,nan
Ribosomal biogenesis protein LAS1L,K16912
Protein flightless-1,K08017
Adhesion G-protein coupled receptor G2,K08455
Ribonucleoside-diphosphate reductase large subunit,K10807
Uncharacterized protein YeaC,K14572
Membrane-bound lytic murein transglycosylase D,K08658
Putative uncharacterized protein,K10902
ATP-binding protein Uup,K20823
Glutaredoxin-like protein NrdH,nan
Peroxisomal N(1)-acetyl-spermine/spermidine oxidase,K12259
E3 ubiquitin-protein ligase hel2,K22381
GTP-binding protein rho1,K07858
Endoplasmic reticulum-Golgi intermediate compartment protein 3,K20367
Uncharacterized protein YhgE,nan
Probable alpha-aspartyl dipeptidase,K05995
Modification methylase HgiDII,K00558
Arginine-glutamic acid dipeptide repeats protein,K05628
Transposable element Tcb2 transposase,K08747
Protein white,K05679
PHD and RING finger domain-containing protein 1,K17586
Multidrug export protein EmrB,K08193
Putative uncharacterized protein,K09405
Alanine aminotransferase,nan
Putative uncharacterized protein,K04661
Cell adhesion molecule 1,K06772
Uncharacterized cyclodeaminase,nan
26S proteasome regulatory subunit 4 homolog,K03062
Mannitol operon repressor,nan
Ubiquinone biosynthesis O-methyltransferase,K00591
Putative uncharacterized protein,K19756
Probable CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4,K12603
Uncharacterized hydrolase YKL033W-A,nan
Acetaldehyde dehydrogenase 1,nan
Colanic acid biosynthesis protein WcaM,nan
Coagulation factor XII (Fragment),K01346
Exopolyphosphatase,nan
Methyltransferase-like 26,K00728
Brain-specific serine protease 4,K09626
UPF0758 protein YkfG,nan
Uncharacterized isochorismatase family protein CA_P0030,nan
Proton-transporting V-type ATPase complex assembly regulator TMEM9,nan
Ribosyldihydronicotinamide dehydrogenase [quinone],K00355
PDZ and LIM domain protein 4,K23353
WD repeat-containing protein CG11141,K06530
Cytochrome P450 4d1,K15001
Putative ankyrin repeat protein RF_0580,K04984
Homoprotocatechuate degradative operon repressor,nan
Aminodeoxychorismate synthase,nan
DinI-like protein in retron EC67,nan
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,K03945
ATP-dependent DNA helicase srs2,K03657
Lumican,K24492
Pupal cuticle protein 36,K06236
Major facilitator superfamily domain-containing protein 10,K13506
Chondramide synthase cmdD,nan
Putative transposase in snaA-snaB intergenic region,nan
Sodium- and chloride-dependent glycine transporter 1,K05037
ATP-binding cassette sub-family A member 7,K05647
Zinc finger protein castor homolog 1,nan
Membrane alanyl aminopeptidase,K01257
Dermonecrotic toxin LiSicTox-betaIA1ii,nan
Uncharacterized protein C2A9.02,nan
"Protein tramtrack, alpha isoform",K14320
Alkyl hydroperoxide reductase E,K20011
Malonamoyl-CoA synthetase vrtB,K01907
Lectizyme,K09636
Putative ribonuclease VapC50,nan
Protein IMPACT homolog,nan
ATP-binding cassette sub-family A member 13,K05643
Glutamate [NMDA] receptor subunit 1,K05208
Vacuolar protein sorting-associated protein 52,K20298
Glutathione S-transferase GstA,nan
Hypoxia-inducible factor 1-alpha,K08268
Histamine H2 receptor,K20286
Putative gustatory receptor 28b,K08471
Pogo transposable element with ZNF domain,K22594
"Plasminogen activator inhibitor 2, macrophage",K23425
Uncharacterized protein bbp_170,nan
Chemotaxis protein CheY,nan
Serine proteinase stubble,K09636
Putative zinc protease mug138,K01411
Inducible metalloproteinase inhibitor protein,K13908
Aromatic amino acid permease FywP,nan
Putative uncharacterized protein,K13755
Protein eva-1 homolog C,nan
Histone-lysine N-methyltransferase Su(var)3-9,K11419
Clotting factor G beta subunit,nan
Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX,K04567
Ficolin-1,K10104
Substance-K receptor,K04224
Trypsin Tyr p 3.0101,K09752
Trigger factor,K03544
Phosphatidylinositol N-acetylglucosaminyltransferase subunit A,K03857
Uncharacterized oxidoreductase SE_2036,K11147
Eukaryotic translation initiation factor 3 subunit D,nan
Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 2 (Fragment),K05673
Invertase,nan
Chymotrypsin-C,K20111
Eukaryotic translation initiation factor 3 subunit J-A,K03245
Mucin-6,K22023
Putative uncharacterized protein,K22037
Kelch repeat and BTB domain-containing protein 2,K10442
SID1 transmembrane family member 1,K06632
Voltage-gated potassium channel subunit beta-2,K04883
Murein hydrolase activator EnvC,K15633
Carboxylesterase,K07378
Serum response factor homolog A,K04378
Glycine betaine/carnitine transport ATP-binding protein GbuA,K05643
Putative uncharacterized protein,K12843
Probable nucleolar protein 5-2,K14564
Zinc finger BED domain-containing protein 5,K24032
Lachesin,K06773
"Probable proline dehydrogenase, mitochondrial",K00318
Stearoyl-CoA desaturase 5,K01897
Probable oxidoreductase YjgC,K00142
"ABC1 family protein C21C3.03, mitochondrial",K08869
Spermidine synthase 2,K00797
Putative oxidoreductase YgfK,nan
Putative uncharacterized protein,K24298
"Cadmium, cobalt and zinc/H(+)-K(+) antiporter",K14688
Probable elongation factor 1-delta,K15410
Importin subunit alpha,K15042
Angiomotin,K06104
Protein rlx,nan
Penicillin-binding protein 1A (Fragment),nan
Casein kinase I,K08960
Protein sprint,K18080
Putative antitoxin VapB50,nan
Craniofacial development protein 2,K09228
Exportin-6-B,nan
Macrolide export ATP-binding/permease protein MacB 2,K05658
Protein GRISEA,nan
Phosphate import ATP-binding protein PstB,K05659
"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit",nan
Invertebrate-type lysozyme,nan
Putative uncharacterized protein,K13156
Thiosulfate sulfurtransferase TUM1,K01011
Toll-like receptor 8,K10159
Dehydrodolichyl diphosphate synthase complex subunit DHDDS,K11778
Nicotinic acid-CoA ligase pyr1,K01904
Thioredoxin-related transmembrane protein 1,K16458
Uncharacterized protein C9E9.04,nan
2-iminobutanoate/2-iminopropanoate deaminase,nan
Nucleoporin SEH1-A,K14401
Chymotrypsin,K09636
Probable serine carboxypeptidase CPVL,K09645
Tryptase delta,K08664
(E)-2-((N-methylformamido)methylene)succinate hydrolase,K13703
Nuclear distribution protein nudE homolog 1,K16738
CLIP domain-containing serine protease 2,K01317
Acyl-CoA thioester hydrolase YciA,K17360
SWR1 complex bromodomain subunit bdf1,K11721
Chromobox protein homolog 7,K11454
Succinate-semialdehyde dehydrogenase [NADP(+)],K00149
Heparan sulfate glucosamine 3-O-sulfotransferase 3A1,K07809
Uncharacterized ABC transporter ATP-binding protein sll0415,K05643
Amino-acid carrier protein AlsT,nan
Succinate-semialdehyde dehydrogenase (acetylating),K00121
Peptidoglycan recognition protein,K24075
Carboxypeptidase inhibitor SmCI,K23087
Protein YobA,nan
Putative uncharacterized protein,K01432
Fructose-bisphosphate aldolase B,K01623
Probable small nuclear ribonucleoprotein E,K11097
Putative uncharacterized protein,K19330
Follistatin-related protein 5,K23915
Uncharacterized isochorismatase family protein PncA,nan
N-acetyltransferase eso1,K03509
Transposable element Tcb2 transposase,K16353
"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2",K20230
"ATP-dependent RNA helicase DEAH11, chloroplastic",K11969
Uroporphyrinogen-III synthase,K01719
ATP-dependent RNA helicase DED1,nan
Putative uncharacterized protein,K17973
Kelch repeat-containing protein ARB_01230,nan
Uncharacterized transporter C36.01c,nan
2-oxoglutarate-Fe(II) type oxidoreductase,nan
"Dystrophin, isoforms A/C/F/G/H",nan
Putative uncharacterized protein,K10302
Putative uncharacterized protein,K05233
Probable RNA-directed DNA polymerase from transposon X-element,K23014
RNA polymerase sigma-54 factor 1,K04964
Serine/threonine-protein kinase KIC1,K08838
Putative malate dehydrogenase 1B,nan
Esterase B1,K01050
Nuclear control of ATPase protein 2,nan
Probable serine hydrolase,K18399
Calcium-binding protein E63-1,K02183
Probable 3-hydroxyacyl-CoA dehydrogenase F54C8.1,K00022
NEP1-interacting protein-like 1,K15692
Ubiquitin carboxyl-terminal hydrolase 3,K11842
Uncharacterized WD repeat-containing protein C9G1.05,K03363
Testis-specific serine/threonine-protein kinase 2,K08811
Uncharacterized protein C211.03,nan
Putative cytochrome c1 heme lyase,K01764
Probable transcriptional regulatory protein cgR_1708,K18189
Twist-related protein 1,K09069
Solute carrier family 25 member 35,K15117
Ubiquitin-40S ribosomal protein S27a,K02977
Putative uncharacterized protein,K17554
UPF0358 protein EF_2458,nan
Peptidoglycan glycosyltransferase RodA,nan
Glyoxylate reductase,K00058
L-methionine sulfoximine/L-methionine sulfone acetyltransferase,nan
Amyloid-beta A4 protein,K23087
Polyamine deacetylase HDAC10,K11407
Neurogenic locus notch homolog protein 4,K02599
Bifunctional arginine demethylase and lysyl-hydroxylase PSR,K11323
Sodium- and chloride-dependent glycine transporter 2,K05040
4-hydroxybenzoate octaprenyltransferase,K06125
Alpha-methylacyl-CoA racemase,K18703
G patch domain-containing protein 4,K11798
Putative uncharacterized protein,K17512
"YrdC domain-containing protein, mitochondrial",K03019
"Glutaminase liver isoform, mitochondrial",K01425
FGGY carbohydrate kinase domain-containing protein,nan
Putative uncharacterized protein,K22415
Universal stress protein MT1672,nan
Uncharacterized HTH-type transcriptional regulator YybA,nan
Uncharacterized oxidoreductase Lmo0432,nan
Serine protease 48,K01312
NADH-quinone oxidoreductase subunit E,nan
Puff-specific protein Bx42,K06063
Putative Polycomb group protein ASXL2,K11471
Sensor histidine kinase TmoS,nan
Putative FAD-containing monooxygenase MymA,K00485
Cytosolic Fe-S cluster assembly factor nar1,K01883
tRNA (guanine-N(7)-)-methyltransferase,K03439
A disintegrin and metalloproteinase with thrombospondin motifs 19,K08627
Serine carboxypeptidase ctsa-1.1,K13289
Fringe glycosyltransferase,nan
D-threonate kinase,nan
L-cystine transporter TcyP,K05613
Serine protease inhibitor 77Ba,K13965
Gamma-tubulin complex component 6,K16573
Dynein regulatory complex protein 11,K07767
Pyrroloquinoline-quinone synthase,nan
N-terminal acetyltransferase A complex catalytic subunit ard1,K20791
Probable multidrug resistance ABC transporter ATP-binding/permease protein YheI,K05655
Trifunctional nucleotide phosphoesterase protein YfkN,nan
Mitochondrial genome maintenance exonuclease 1,K19465
Plasminogen,K01312
Reducing polyketide synthase PKS1,K00665
Leucine-zipper-like transcriptional regulator 1,K23330
Probable membrane transporter protein XF_0764,nan
Uncharacterized transporter C460.05,K13783
Cyclin-dependent kinases regulatory subunit 1,K02219
Diphtheria toxin repressor,nan
Glucose-6-phosphate 1-dehydrogenase,nan
Probable sugar phosphate/phosphate translocator At5g11230,K15285
DNA gyrase subunit B (Fragment),nan
Multidrug export protein EmrA,nan
Putative metal ion transporter C27B12.12c,K16073
Duodenase-1,K08664
Protein quaking,K14945
Replication factor C subunit 2,K10755
Highly reducing polyketide synthase alt5,nan
Putative uncharacterized protein,K14613
Hydrogenase-4 component B,nan
Large structural protein,nan
Serine/threonine-protein kinase cbk1,K08791
Cyclic AMP-responsive element-binding protein 3-like protein 3,K09048
Probable vacuolar amino acid transporter YPQ1,K23678
"Beta-1,4-glucuronyltransferase 1",K21032
Putative uncharacterized protein,K07195
Cathepsin L2,K01365
UDP-N-acetylmuramate--L-alanine ligase,K03544
Uncharacterized protein C11D3.03c,nan
Mitochondrial mRNA pseudouridine synthase Trub2,K23497
Protein lin-52 homolog,K21775
120.7 kDa protein in NOF-FB transposable element,nan
Ypt/Rab-type GTPase avaA,K07897
Mannan polymerase II complex anp1 subunit,K05529
GTP-sensing transcriptional pleiotropic repressor CodY,nan
Uncharacterized protein YML079W,nan
Serine/threonine-protein kinase fused,K06228
Type IV pilus assembly ATPase PilB,K22747
ENTH domain-containing protein C794.11c,K12471
Uncharacterized transporter C1773.15,nan
Phenylacetate 2-hydroxylase,K17854
Carboxylesterase A,nan
Galactofuranose transporter ATP-binding protein YtfR,K05658
Putative uncharacterized protein,K02214
Eukaryotic translation initiation factor 4E,K03259
HEAT repeat-containing protein 3,nan
Teichoic acid translocation permease protein TagG,nan
Putative uncharacterized protein,K16913
tRNA 2-selenouridine synthase,nan
Lipopolysaccharide export system ATP-binding protein LptB,K05641
Actin-related protein 2/3 complex subunit 5-like protein,K05754
Krueppel-like factor 5,K09206
Multifunctional non-homologous end joining protein LigD,K10776
LINE-1 reverse transcriptase homolog,K11592
Eukaryotic translation initiation factor 3 subunit F-1,K03249
Manganese import system permease protein ScaB,nan
Ovochymase-2,K09640
BTB/POZ domain-containing protein 9,K10481
Nucleic-acid-binding protein from transposon X-element,K09228
Putative transposase InsK for insertion sequence element IS150,nan
Uncharacterized oxidoreductase P32A8.02,K00002
Probable RNA-directed DNA polymerase from transposon BS,K00791
Trithorax group protein osa,K11653
A disintegrin and metalloproteinase with thrombospondin motifs gon-1,K24429
Coiled-coil domain-containing protein 22 homolog,K23343
5'-3' exoribonuclease 4,K12619
Pre-mRNA-splicing factor cwc15,K12863
"Epimerase family protein SDR39U1 homolog, chloroplastic",K07071
Protein kinase shaggy,K03083
Hydrogenase 2 maturation protease,nan
Histone deacetylase 5,K11406
Surfactin synthase subunit 3,K00142
Glutamine-binding protein,nan
DPH3 homolog,K15455
Ras GTPase-activating protein 2,K12380
Cytochrome P450 monooxygenase FSL4,K07440
Insulin-like growth factor 1 receptor,K05087
Sodium/hydrogen exchanger 8,K14726
Putative mitochondrial carrier protein PET8,K15111
Tubulin-specific chaperone B,K17262
Rab effector Noc2,K19938
Shikimate dehydrogenase (NADP(+)),nan
